,clothes_id,gender,height,weight,size,size_review,bright,color,thick
0,0,여성, 168cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
1,0,여성, 170cm, 48kg,M,보통이에요,보통이에요,보통이에요,보통이에요
2,0,여성, 160cm, 47kg,S,커요,밝아요,보통이에요,보통이에요
3,0,여성, 171cm, 51kg,M,보통이에요,보통이에요,선명해요,두꺼워요
4,0,여성, 167cm, 59kg,L,보통이에요,보통이에요,보통이에요,보통이에요
5,0,여성, 163cm, 60kg,S,보통이에요,어두워요,선명해요,보통이에요
6,0,여성, 161cm, 59kg,M,보통이에요,보통이에요,보통이에요,보통이에요
7,0,여성, 174cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
8,0,여성, 158cm, 43kg,S,커요,어두워요,선명해요,두꺼워요
9,0,여성, 163cm, 51kg,M,보통이에요,보통이에요,선명해요,두꺼워요
10,0,여성, 174cm, 59kg,M,보통이에요,밝아요,보통이에요,두꺼워요
11,0,여성, 160cm, 53kg,S,보통이에요,보통이에요,보통이에요,보통이에요
12,0,여성, 158cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
13,0,여성, 165cm, 48kg,S,보통이에요,어두워요,선명해요,보통이에요
14,0,여성, 155cm, 50kg,S,커요,보통이에요,선명해요,보통이에요
15,0,여성, 171cm, 51kg,M,보통이에요,밝아요,보통이에요,두꺼워요
16,0,여성, 163cm, 50kg,M,보통이에요,어두워요,선명해요,보통이에요
17,0,여성, 160cm, 65kg,L,보통이에요,밝아요,선명해요,두꺼워요
18,0,여성, 167cm, 55kg,M,보통이에요,어두워요,보통이에요,보통이에요
19,0,여성, 159cm, 46kg,S,보통이에요,보통이에요,보통이에요,보통이에요
20,0,여성, 162cm, 49kg,S,커요,보통이에요,보통이에요,보통이에요
21,0,여성, 172cm, 74kg,L,보통이에요,어두워요,보통이에요,두꺼워요
22,0,여성, 162cm, 50kg,S,커요,보통이에요,보통이에요,두꺼워요
23,0,여성, 170cm, 85kg,L,보통이에요,보통이에요,보통이에요,두꺼워요
24,0,남성, 160cm, 48kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
25,0,여성, 160cm, 56kg,S,보통이에요,보통이에요,선명해요,보통이에요
26,0,여성, 165cm, 62kg,L,보통이에요,보통이에요,보통이에요,보통이에요
27,0,여성, 165cm, 50kg,S,보통이에요,밝아요,선명해요,두꺼워요
28,0,여성, 171cm, 63kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
29,0,여성, 164cm, 52kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
30,0,여성, 156cm, 44kg,S,보통이에요,보통이에요,보통이에요,보통이에요
31,0,여성, 161cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
32,0,여성, 158cm, 52kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
33,0,남성, 167cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
34,0,여성, 158cm, 45kg,S,커요,보통이에요,보통이에요,보통이에요
35,0,여성, 160cm, 52kg,S,보통이에요,어두워요,선명해요,보통이에요
36,0,여성, 170cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
37,0,여성, 175cm, 54kg,M,커요,보통이에요,보통이에요,두꺼워요
38,0,여성, 161cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
39,0,남성, 174cm, 72kg,S,보통이에요,보통이에요,보통이에요,보통이에요
40,0,여성, 158cm, 44kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
41,0,여성, 170cm, 60kg,L,보통이에요,보통이에요,보통이에요,보통이에요
42,0,여성, 165cm, 52kg,S,커요,어두워요,선명해요,두꺼워요
43,0,여성, 163cm, 52kg,S,보통이에요,보통이에요,보통이에요,보통이에요
44,0,여성, 152cm, 60kg,L,작아요,보통이에요,보통이에요,두꺼워요
45,0,여성, 170cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
46,0,여성, 172cm, 51kg,M,보통이에요,보통이에요,선명해요,보통이에요
47,0,여성, 167cm, 58kg,L,커요,보통이에요,선명해요,두꺼워요
48,0,여성, 160cm, 45kg,S,보통이에요,밝아요,선명해요,두꺼워요
49,0,여성, 160cm, 55kg,M,커요,어두워요,선명해요,두꺼워요
50,0,여성, 170cm, 53kg,M,보통이에요,보통이에요,보통이에요,보통이에요
51,0,여성, 157cm, 60kg,S,보통이에요,보통이에요,선명해요,보통이에요
52,0,여성, 168cm, 53kg,M,보통이에요,어두워요,보통이에요,두꺼워요
53,0,여성, 162cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
54,0,여성, 160cm, 48kg,S,커요,보통이에요,보통이에요,보통이에요
55,0,여성, 160cm, 46kg,S,커요,보통이에요,보통이에요,보통이에요
56,0,여성, 162cm, 54kg,M,커요,어두워요,선명해요,보통이에요
57,0,여성, 167cm, 54kg,M,커요,어두워요,선명해요,보통이에요
58,0,여성, 162cm, 56kg,S,커요,보통이에요,선명해요,두꺼워요
59,0,여성, 172cm, 75kg,L,보통이에요,보통이에요,보통이에요,두꺼워요
60,0,여성, 168cm, 61kg,L,보통이에요,보통이에요,선명해요,두꺼워요
61,0,여성, 159cm, 42kg,S,보통이에요,보통이에요,보통이에요,보통이에요
62,0,여성, 163cm, 46kg,S,보통이에요,보통이에요,보통이에요,보통이에요
63,0,남성, 173cm, 70kg,S,보통이에요,보통이에요,보통이에요,보통이에요
64,0,여성, 177cm, 53kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
65,0,남성, 172cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
66,0,여성, 165cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
67,0,여성, 163cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
68,0,여성, 170cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
69,0,여성, 156cm, 47kg,S,보통이에요,보통이에요,선명해요,보통이에요
70,0,여성, 158cm, 52kg,S,보통이에요,보통이에요,보통이에요,보통이에요
71,0,여성, 160cm, 53kg,S,보통이에요,보통이에요,보통이에요,보통이에요
72,0,여성, 164cm, 47kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
73,0,여성, 161cm, 46kg,S,보통이에요,보통이에요,보통이에요,두꺼워요
74,0,여성, 164cm, 53kg,M,보통이에요,보통이에요,보통이에요,보통이에요
75,0,여성, 160cm, 54kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
76,0,여성, 162cm, 44kg,S,보통이에요,보통이에요,흐려요,보통이에요
77,0,여성, 170cm, 52kg,L,커요,보통이에요,선명해요,두꺼워요
78,0,여성, 164cm, 64kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
79,0,여성, 163cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
80,0,여성, 160cm, 56kg,S,보통이에요,보통이에요,보통이에요,보통이에요
81,0,여성, 163cm, 54kg,S,커요,보통이에요,보통이에요,두꺼워요
82,0,여성, 167cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
83,0,여성, 165cm, 50kg,M,보통이에요,보통이에요,선명해요,보통이에요
84,0,여성, 161cm, 58kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
85,0,여성, 161cm, 55kg,S,보통이에요,어두워요,선명해요,보통이에요
86,0,여성, 168cm, 60kg,S,커요,보통이에요,보통이에요,두꺼워요
87,0,여성, 160cm, 48kg,S,보통이에요,보통이에요,보통이에요,보통이에요
88,4,여성, 162cm, 52kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
89,4,여성, 160cm, 50kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
90,4,여성, 158cm, 48kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
91,4,여성, 163cm, 50kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
92,4,여성, 155cm, 38kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
93,4,여성, 163cm, 43kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
94,4,여성, 160cm, 53kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
95,4,여성, 168cm, 49kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
96,4,여성, 166cm, 45kg,GREY/S,보통이에요,보통이에요,보통이에요,보통이에요
97,5,여성, 163cm, 59kg,28,커요,어두워요,보통이에요,보통이에요
98,10,여성, 157cm, 51kg,Free,보통이에요,보통이에요,선명해요,보통이에요
99,10,여성, 158cm, 56kg,Free,보통이에요,밝아요,선명해요,얇아요
100,10,여성, 150cm, 52kg,Free,보통이에요,보통이에요,보통이에요,얇아요
101,10,여성, 157cm, 58kg,Free,보통이에요,보통이에요,보통이에요,보통이에요
102,10,여성, 165cm, 55kg,Free,보통이에요,밝아요,보통이에요,보통이에요
103,10,여성, 157cm, 51kg,Free,보통이에요,보통이에요,보통이에요,보통이에요
104,14,여성, 168cm, 65kg,M,커요,어두워요,보통이에요,두꺼워요
105,15,여성, 165cm, 52kg,FREE,보통이에요,보통이에요,보통이에요,얇아요
106,15,여성, 165cm, 62kg,FREE,보통이에요,보통이에요,보통이에요,보통이에요
107,15,여성, 160cm, 47kg,FREE,보통이에요,밝아요,보통이에요,얇아요
108,18,여성, 160cm, 52kg,S,보통이에요,보통이에요,보통이에요,보통이에요
109,18,여성, 171cm, 69kg,L,보통이에요,보통이에요,보통이에요,보통이에요
110,18,여성, 160cm, 52kg,M-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
111,18,여성, 164cm, 53kg,M-숏버전/일반원단,보통이에요,밝아요,보통이에요,보통이에요
112,18,여성, 157cm, 53kg,M,보통이에요,보통이에요,보통이에요,보통이에요
113,18,남성, 170cm, 55kg,S-기모원단,보통이에요,보통이에요,보통이에요,보통이에요
114,18,여성, 163cm, 52kg,M-숏버전,보통이에요,보통이에요,선명해요,보통이에요
115,18,여성, 161cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
116,18,여성, 158cm, 49kg,S,보통이에요,밝아요,선명해요,보통이에요
117,18,여성, 158cm, 49kg,S,보통이에요,어두워요,선명해요,보통이에요
118,18,여성, 164cm, 59kg,일반원단(커버밴드)/L,보통이에요,보통이에요,보통이에요,보통이에요
119,18,여성, 164cm, 58kg,L,보통이에요,보통이에요,보통이에요,보통이에요
120,18,여성, 165cm, 54kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
121,18,여성, 164cm, 55kg,M-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
122,18,여성, 163cm, 52kg,S,보통이에요,보통이에요,보통이에요,얇아요
123,18,여성, 165cm, 48kg,S,보통이에요,보통이에요,보통이에요,보통이에요
124,18,여성, 166cm, 56kg,S,보통이에요,밝아요,선명해요,보통이에요
125,18,여성, 163cm, 66kg,L,커요,어두워요,선명해요,보통이에요
126,18,여성, 157cm, 40kg,S,보통이에요,보통이에요,보통이에요,보통이에요
127,18,여성, 172cm, 62kg,L,작아요,보통이에요,선명해요,보통이에요
128,18,여성, 150cm, 50kg,S-기모원단,커요,보통이에요,보통이에요,보통이에요
129,18,여성, 150cm, 50kg,S-기모원단,커요,보통이에요,보통이에요,보통이에요
130,18,여성, 150cm, 50kg,기모원단/S,커요,보통이에요,보통이에요,보통이에요
131,18,여성, 159cm, 55kg,M-숏버전/일반원단,작아요,밝아요,보통이에요,보통이에요
132,18,여성, 163cm, 50kg,L,보통이에요,보통이에요,보통이에요,보통이에요
133,18,남성, 170cm, 70kg,M,보통이에요,보통이에요,보통이에요,보통이에요
134,18,여성, 159cm, 53kg,일반원단(커버밴드)/M,보통이에요,보통이에요,보통이에요,보통이에요
135,18,여성, 163cm, 65kg,L/일반원단,커요,보통이에요,보통이에요,보통이에요
136,18,여성, 163cm, 50kg,M,커요,보통이에요,보통이에요,보통이에요
137,18,여성, 163cm, 44kg,S-기모원단,커요,보통이에요,보통이에요,두꺼워요
138,18,여성, 161cm, 58kg,M,보통이에요,밝아요,선명해요,보통이에요
139,18,여성, 174cm, 63kg,L,보통이에요,보통이에요,보통이에요,보통이에요
140,18,여성, 161cm, 49kg,S,보통이에요,보통이에요,보통이에요,보통이에요
141,18,여성, 161cm, 49kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
142,18,여성, 166cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
143,18,여성, 155cm, 50kg,S-기모원단,보통이에요,보통이에요,보통이에요,보통이에요
144,18,여성, 155cm, 43kg,S-숏버전,커요,보통이에요,선명해요,보통이에요
145,18,여성, 165cm, 58kg,L,커요,보통이에요,선명해요,두꺼워요
146,18,여성, 162cm, 48kg,S,보통이에요,어두워요,선명해요,보통이에요
147,18,여성, 155cm, 48kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
148,18,여성, 154cm, 40kg,S-숏버전/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
149,18,여성, 163cm, 60kg,일반원단(커버밴드)/M,보통이에요,보통이에요,선명해요,보통이에요
150,18,남성, 177cm, 65kg,M-기모원단,보통이에요,보통이에요,보통이에요,보통이에요
151,18,여성, 161cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
152,18,여성, 152cm, 44kg,S,커요,보통이에요,선명해요,보통이에요
153,18,여성, 165cm, 58kg,L,보통이에요,어두워요,선명해요,두꺼워요
154,18,여성, 163cm, 57kg,M-기모원단,보통이에요,보통이에요,보통이에요,두꺼워요
155,18,여성, 165cm, 58kg,L,보통이에요,보통이에요,보통이에요,보통이에요
156,18,여성, 158cm, 54kg,M-숏버전/일반원단,보통이에요,밝아요,선명해요,두꺼워요
157,18,여성, 170cm, 70kg,XL/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
158,18,여성, 157cm, 50kg,M-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
159,18,여성, 158cm, 55kg,L-숏버전/일반원단,작아요,보통이에요,보통이에요,보통이에요
160,18,여성, 158cm, 49kg,S-숏버전/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
161,18,여성, 160cm, 55kg,L,보통이에요,보통이에요,보통이에요,보통이에요
162,18,여성, 161cm, 45kg,S,보통이에요,보통이에요,보통이에요,보통이에요
163,18,여성, 158cm, 51kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
164,18,여성, 166cm, 49kg,S,커요,어두워요,선명해요,보통이에요
165,18,여성, 166cm, 59kg,M,보통이에요,보통이에요,선명해요,보통이에요
166,18,여성, 167cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
167,18,여성, 160cm, 47kg,S,보통이에요,보통이에요,보통이에요,보통이에요
168,18,여성, 160cm, 55kg,M-숏버전,보통이에요,밝아요,선명해요,두꺼워요
169,18,여성, 170cm, 65kg,L,작아요,보통이에요,보통이에요,보통이에요
170,18,여성, 165cm, 57kg,L,보통이에요,보통이에요,보통이에요,보통이에요
171,18,여성, 165cm, 53kg,S,작아요,보통이에요,보통이에요,보통이에요
172,18,여성, 164cm, 52kg,M/기모원단,보통이에요,보통이에요,보통이에요,보통이에요
173,18,여성, 172cm, 58kg,일반원단(커버밴드)/M,보통이에요,보통이에요,선명해요,보통이에요
174,18,여성, 157cm, 52kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
175,18,여성, 163cm, 50kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
176,18,여성, 164cm, 50kg,S,보통이에요,보통이에요,보통이에요,보통이에요
177,18,여성, 165cm, 57kg,L/기모원단,보통이에요,보통이에요,보통이에요,보통이에요
178,18,여성, 165cm, 57kg,L-기모원단,보통이에요,보통이에요,보통이에요,보통이에요
179,18,여성, 165cm, 57kg,L,보통이에요,보통이에요,선명해요,보통이에요
180,18,여성, 160cm, 50kg,S,보통이에요,어두워요,선명해요,보통이에요
181,18,여성, 159cm, 48kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
182,18,여성, 159cm, 48kg,S,커요,보통이에요,보통이에요,보통이에요
183,18,여성, 155cm, 45kg,S-숏버전,커요,보통이에요,보통이에요,보통이에요
184,18,여성, 166cm, 52kg,S/여름원단,커요,보통이에요,선명해요,보통이에요
185,18,여성, 156cm, 52kg,S,커요,보통이에요,보통이에요,보통이에요
186,18,여성, 169cm, 55kg,M,보통이에요,보통이에요,선명해요,보통이에요
187,18,여성, 170cm, 65kg,M,보통이에요,보통이에요,선명해요,보통이에요
188,18,여성, 167cm, 66kg,M,보통이에요,보통이에요,보통이에요,보통이에요
189,18,여성, 170cm, 50kg,L/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
190,18,남성, 172cm, 72kg,M-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
191,18,여성, 160cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
192,18,여성, 169cm, 73kg,XL/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
193,18,여성, 168cm, 54kg,M/일반원단,보통이에요,보통이에요,보통이에요,보통이에요
194,18,여성, 166cm, 57kg,M-숏버전,보통이에요,보통이에요,선명해요,보통이에요
195,18,여성, 163cm, 61kg,일반원단(커버밴드)/L,보통이에요,보통이에요,보통이에요,보통이에요
196,18,여성, 166cm, 66kg,L,보통이에요,보통이에요,보통이에요,보통이에요
197,18,여성, 166cm, 49kg,S-숏버전,보통이에요,보통이에요,보통이에요,보통이에요
198,22,여성, 163cm, 58kg,S,커요,보통이에요,선명해요,보통이에요
199,22,여성, 163cm, 58kg,S,보통이에요,보통이에요,보통이에요,보통이에요
200,22,여성, 163cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
201,22,여성, 164cm, 45kg,M,보통이에요,보통이에요,보통이에요,보통이에요
202,22,여성, 155cm, 50kg,M,보통이에요,보통이에요,보통이에요,보통이에요
203,22,여성, 155cm, 50kg,M,보통이에요,어두워요,선명해요,보통이에요
204,22,여성, 160cm, 56kg,S,보통이에요,보통이에요,선명해요,보통이에요
205,22,여성, 168cm, 67kg,M,보통이에요,보통이에요,보통이에요,보통이에요
206,22,여성, 154cm, 55kg,S,커요,보통이에요,선명해요,보통이에요
207,22,여성, 167cm, 55kg,S,커요,보통이에요,보통이에요,보통이에요
208,22,여성, 165cm, 60kg,M,커요,보통이에요,보통이에요,두꺼워요
209,22,여성, 160cm, 65kg,M,보통이에요,어두워요,선명해요,보통이에요
210,22,여성, 158cm, 50kg,M,커요,보통이에요,보통이에요,보통이에요
211,22,여성, 166cm, 64kg,M,커요,보통이에요,보통이에요,보통이에요
212,22,여성, 164cm, 58kg,M,커요,보통이에요,보통이에요,보통이에요
213,22,여성, 158cm, 70kg,M,보통이에요,보통이에요,보통이에요,얇아요
214,22,여성, 164cm, 58kg,S,커요,보통이에요,보통이에요,얇아요
215,22,여성, 158cm, 58kg,M,보통이에요,보통이에요,보통이에요,두꺼워요
216,22,여성, 165cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
217,22,여성, 164cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
218,22,여성, 160cm, 53kg,S,보통이에요,보통이에요,보통이에요,얇아요
219,22,여성, 161cm, 56kg,S,커요,어두워요,선명해요,얇아요
220,22,여성, 163cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
221,22,여성, 153cm, 50kg,S,커요,보통이에요,보통이에요,두꺼워요
222,22,여성, 163cm, 54kg,S,보통이에요,보통이에요,보통이에요,보통이에요
223,22,여성, 160cm, 58kg,S,커요,보통이에요,선명해요,두꺼워요
224,22,여성, 162cm, 52kg,S,커요,보통이에요,선명해요,보통이에요
225,22,여성, 152cm, 49kg,S,보통이에요,보통이에요,선명해요,보통이에요
226,23,여성, 158cm, 49kg,FREE,보통이에요,어두워요,선명해요,얇아요
227,23,여성, 156cm, 48kg,FREE,보통이에요,보통이에요,보통이에요,얇아요
228,23,여성, 160cm, 49kg,FREE,보통이에요,보통이에요,보통이에요,보통이에요
229,23,여성, 170cm, 60kg,FREE,작아요,보통이에요,보통이에요,얇아요
230,24,여성, 155cm, 47kg,1,커요,보통이에요,보통이에요,보통이에요
231,24,여성, 155cm, 50kg,1,커요,보통이에요,보통이에요,보통이에요
232,30,여성, 165cm, 54kg,Small,커요,보통이에요,보통이에요,보통이에요
233,34,여성, 169cm, 59kg,PURPLE/F,작아요,보통이에요,선명해요,보통이에요
234,34,여성, 169cm, 59kg,PURPLE/F,보통이에요,밝아요,보통이에요,두꺼워요
235,34,여성, 159cm, 50kg,PURPLE/F,보통이에요,보통이에요,보통이에요,두꺼워요
236,34,여성, 162cm, 46kg,PURPLE/F,보통이에요,보통이에요,보통이에요,보통이에요
237,34,여성, 163cm, 77kg,PURPLE/F,보통이에요,보통이에요,보통이에요,두꺼워요
238,34,여성, 164cm, 54kg,PURPLE/F,보통이에요,보통이에요,선명해요,두꺼워요
239,34,여성, 164cm, 56kg,PURPLE/F,보통이에요,보통이에요,보통이에요,보통이에요
240,34,여성, 162cm, 53kg,PURPLE/F,보통이에요,보통이에요,보통이에요,보통이에요
241,34,여성, 160cm, 55kg,PURPLE/F,보통이에요,보통이에요,보통이에요,보통이에요
242,34,여성, 160cm, 52kg,PURPLE/F,커요,보통이에요,보통이에요,두꺼워요
243,34,여성, 156cm, 45kg,PURPLE/F,보통이에요,보통이에요,보통이에요,두꺼워요
244,34,여성, 152cm, 43kg,PURPLE/F,커요,보통이에요,선명해요,두꺼워요
245,34,여성, 165cm, 48kg,PURPLE/F,보통이에요,보통이에요,보통이에요,두꺼워요
246,34,여성, 160cm, 46kg,PURPLE/F,보통이에요,보통이에요,선명해요,두꺼워요
247,35,여성, 158cm, 111kg,BK/028,보통이에요,보통이에요,선명해요,얇아요
248,35,여성, 163cm, 52kg,CG/026,보통이에요,보통이에요,보통이에요,보통이에요
249,35,여성, 164cm, 55kg,BK/028,작아요,보통이에요,선명해요,얇아요
250,42,여성, 170cm, 48kg,M,보통이에요,보통이에요,보통이에요,보통이에요
251,42,여성, 165cm, 47kg,S,커요,보통이에요,보통이에요,얇아요
252,42,여성, 166cm, 50kg,M,커요,밝아요,선명해요,보통이에요
253,42,여성, 161cm, 50kg,S,커요,보통이에요,보통이에요,보통이에요
254,42,여성, 158cm, 54kg,S,보통이에요,보통이에요,보통이에요,얇아요
255,42,여성, 164cm, 54kg,M,보통이에요,보통이에요,보통이에요,보통이에요
256,42,남성, 166cm, 65kg,S,보통이에요,보통이에요,보통이에요,보통이에요
257,42,여성, 169cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
258,42,여성, 163cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
259,42,여성, 167cm, 67kg,L,커요,보통이에요,보통이에요,두꺼워요
260,42,여성, 165cm, 50kg,M,커요,보통이에요,보통이에요,보통이에요
261,42,여성, 160cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
262,42,여성, 158cm, 49kg,M,보통이에요,보통이에요,보통이에요,보통이에요
263,42,여성, 168cm, 56kg,M,보통이에요,보통이에요,보통이에요,보통이에요
264,42,여성, 165cm, 51kg,M,보통이에요,보통이에요,보통이에요,보통이에요
265,42,여성, 165cm, 48kg,S,보통이에요,어두워요,선명해요,보통이에요
266,42,여성, 166cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
267,42,남성, 180cm, 70kg,XL,보통이에요,밝아요,보통이에요,얇아요
268,42,남성, 180cm, 70kg,XL,보통이에요,밝아요,보통이에요,보통이에요
269,42,남성, 180cm, 70kg,XL,보통이에요,밝아요,선명해요,보통이에요
270,42,남성, 180cm, 70kg,XL,보통이에요,밝아요,선명해요,얇아요
271,42,여성, 153cm, 50kg,S,보통이에요,보통이에요,보통이에요,보통이에요
272,42,남성, 171cm, 65kg,XL,보통이에요,보통이에요,보통이에요,보통이에요
273,42,여성, 173cm, 57kg,M,보통이에요,보통이에요,보통이에요,보통이에요
274,42,여성, 160cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
275,42,남성, 162cm, 55kg,S,보통이에요,보통이에요,선명해요,보통이에요
276,42,여성, 167cm, 54kg,M,보통이에요,보통이에요,보통이에요,보통이에요
277,42,여성, 169cm, 56kg,S,보통이에요,어두워요,선명해요,보통이에요
278,42,여성, 164cm, 54kg,S,보통이에요,보통이에요,보통이에요,보통이에요
279,42,남성, 173cm, 75kg,S,커요,보통이에요,선명해요,두꺼워요
280,42,여성, 154cm, 55kg,S,커요,보통이에요,보통이에요,보통이에요
281,42,남성, 179cm, 72kg,M,보통이에요,보통이에요,보통이에요,보통이에요
282,42,여성, 168cm, 58kg,S,보통이에요,보통이에요,보통이에요,보통이에요
283,42,여성, 168cm, 58kg,M,보통이에요,보통이에요,보통이에요,보통이에요
284,42,여성, 169cm, 43kg,S,커요,보통이에요,보통이에요,두꺼워요
285,42,여성, 155cm, 62kg,S,보통이에요,보통이에요,선명해요,보통이에요
286,42,여성, 167cm, 66kg,M,커요,보통이에요,보통이에요,보통이에요
287,42,여성, 161cm, 46kg,L,커요,보통이에요,보통이에요,보통이에요
288,42,여성, 163cm, 55kg,M,커요,보통이에요,보통이에요,보통이에요
289,42,여성, 163cm, 70kg,L,보통이에요,보통이에요,선명해요,보통이에요
290,42,여성, 163cm, 70kg,L,보통이에요,밝아요,선명해요,보통이에요
291,42,여성, 157cm, 49kg,S,커요,보통이에요,보통이에요,보통이에요
292,42,여성, 163cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
293,42,여성, 163cm, 55kg,M,보통이에요,보통이에요,보통이에요,보통이에요
294,42,여성, 152cm, 42kg,M,보통이에요,보통이에요,보통이에요,보통이에요
295,42,여성, 160cm, 55kg,S,보통이에요,보통이에요,보통이에요,보통이에요
296,42,여성, 172cm, 53kg,M,보통이에요,보통이에요,보통이에요,보통이에요
297,42,여성, 161cm, 46kg,M,보통이에요,보통이에요,선명해요,보통이에요
298,42,여성, 170cm, 58kg,M,보통이에요,보통이에요,선명해요,보통이에요
299,42,여성, 162cm, 47kg,S,보통이에요,보통이에요,보통이에요,보통이에요
300,42,여성, 160cm, 54kg,S,보통이에요,보통이에요,보통이에요,보통이에요
301,42,여성, 162cm, 54kg,M,커요,보통이에요,선명해요,보통이에요
302,42,여성, 162cm, 48kg,S,보통이에요,보통이에요,보통이에요,보통이에요
303,42,남성, 177cm, 75kg,M,보통이에요,보통이에요,보통이에요,보통이에요
304,42,여성, 165cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
305,42,여성, 165cm, 60kg,M,보통이에요,보통이에요,보통이에요,보통이에요
306,42,여성, 162cm, 48kg,S,작아요,보통이에요,보통이에요,보통이에요
307,42,여성, 156cm, 50kg,M,보통이에요,밝아요,선명해요,두꺼워요
308,42,여성, 156cm, 50kg,M,커요,밝아요,선명해요,보통이에요
309,42,여성, 160cm, 53kg,S,보통이에요,보통이에요,보통이에요,보통이에요
310,42,여성, 175cm, 68kg,M,보통이에요,보통이에요,보통이에요,얇아요
311,42,여성, 167cm, 62kg,L,보통이에요,어두워요,보통이에요,보통이에요
312,42,여성, 164cm, 49kg,S,보통이에요,보통이에요,보통이에요,보통이에요
313,42,여성, 167cm, 51kg,S,보통이에요,보통이에요,선명해요,보통이에요
314,42,여성, 170cm, 60kg,M,커요,보통이에요,보통이에요,보통이에요
315,42,여성, 160cm, 47kg,S,보통이에요,보통이에요,보통이에요,보통이에요
316,42,여성, 167cm, 60kg,L,커요,보통이에요,보통이에요,보통이에요
317,42,여성, 160cm, 52kg,S,커요,보통이에요,보통이에요,보통이에요
318,42,여성, 173cm, 65kg,M,보통이에요,보통이에요,보통이에요,보통이에요
319,42,여성, 162cm, 58kg,M,보통이에요,어두워요,보통이에요,보통이에요
320,42,여성, 156cm, 60kg,S,보통이에요,보통이에요,보통이에요,보통이에요
321,42,여성, 158cm, 43kg,S,보통이에요,보통이에요,보통이에요,보통이에요
